"Measure code","SEX","COUNTRY_REGION","YEAR","VALUE"
"REHAB_1","MALE","AZE","2001","28795.72"
"REHAB_1","ALL","AZE","2002","27704.98"
"REHAB_1","FEMALE","AZE","2002","26650.27"
"REHAB_1","MALE","AZE","2002","28795.96"
"REHAB_1","ALL","AZE","2003","27781.21"
"REHAB_1","FEMALE","AZE","2003","26823.57"
"REHAB_1","MALE","AZE","2003","28768.59"
"REHAB_1","ALL","AZE","2004","27879.28"
"REHAB_1","FEMALE","AZE","2004","27005.43"
"REHAB_1","MALE","AZE","2004","28777.46"
"REHAB_1","ALL","AZE","2005","28024.41"
"REHAB_1","FEMALE","AZE","2005","27184.68"
"REHAB_1","MALE","AZE","2005","28885.04"
"REHAB_1","ALL","AZE","2006","28232.35"
"REHAB_1","FEMALE","AZE","2006","27397.64"
"REHAB_1","MALE","AZE","2006","29085.53"
"REHAB_1","ALL","AZE","2007","28430.75"
"REHAB_1","FEMALE","AZE","2007","27594.73"
"REHAB_1","MALE","AZE","2007","29283.24"
"REHAB_1","ALL","AZE","2008","28632.07"
"REHAB_1","FEMALE","AZE","2008","27794.79"
"REHAB_1","MALE","AZE","2008","29483.96"
"REHAB_1","ALL","AZE","2009","28844.86"
"REHAB_1","FEMALE","AZE","2009","28012.34"
"REHAB_1","MALE","AZE","2009","29690.31"
"REHAB_1","ALL","AZE","2010","29052.67"
"REHAB_1","FEMALE","AZE","2010","28223.90"
"REHAB_1","MALE","AZE","2010","29892.68"
"REHAB_1","ALL","AZE","2011","29281.43"
"REHAB_1","FEMALE","AZE","2011","28471.01"
"REHAB_1","MALE","AZE","2011","30101.33"
"REHAB_1","ALL","AZE","2012","29488.52"
"REHAB_1","FEMALE","AZE","2012","28701.59"
"REHAB_1","MALE","AZE","2012","30283.29"
"REHAB_1","ALL","AZE","2013","29700.88"
"REHAB_1","FEMALE","AZE","2013","28942.24"
"REHAB_1","MALE","AZE","2013","30465.80"
"REHAB_1","ALL","AZE","2014","29949.81"
"REHAB_1","FEMALE","AZE","2014","29217.18"
"REHAB_1","MALE","AZE","2014","30687.26"
"REHAB_1","ALL","AZE","2015","30224.88"
"REHAB_1","FEMALE","AZE","2015","29512.81"
"REHAB_1","MALE","AZE","2015","30940.43"
"REHAB_1","ALL","AZE","2016","30699.97"
"REHAB_1","FEMALE","AZE","2016","30006.08"
"REHAB_1","MALE","AZE","2016","31396.12"
"REHAB_1","ALL","AZE","2017","31154.50"
"REHAB_1","FEMALE","AZE","2017","30472.31"
"REHAB_1","MALE","AZE","2017","31837.88"
"REHAB_1","ALL","AZE","2018","31469.80"
"REHAB_1","FEMALE","AZE","2018","30791.80"
"REHAB_1","MALE","AZE","2018","32148.02"
"REHAB_1","ALL","AZE","2019","31780.38"
"REHAB_1","FEMALE","AZE","2019","31112.37"
"REHAB_1","MALE","AZE","2019","32447.73"
"REHAB_1","ALL","BEL","1990","40284.94"
"REHAB_1","FEMALE","BEL","1990","40753.15"
"REHAB_1","MALE","BEL","1990","39797.34"
"REHAB_1","ALL","BEL","1991","40352.10"
"REHAB_1","FEMALE","BEL","1991","40846.91"
"REHAB_1","MALE","BEL","1991","39836.84"
"REHAB_1","ALL","BEL","1992","40455.46"
"REHAB_1","FEMALE","BEL","1992","40963.93"
"REHAB_1","MALE","BEL","1992","39925.93"
"REHAB_1","ALL","BEL","1993","40594.52"
"REHAB_1","FEMALE","BEL","1993","41104.24"
"REHAB_1","MALE","BEL","1993","40063.56"
"REHAB_1","ALL","BEL","1994","40772.42"
"REHAB_1","FEMALE","BEL","1994","41277.83"
"REHAB_1","MALE","BEL","1994","40245.75"
"REHAB_1","ALL","BEL","1995","40972.59"
"REHAB_1","FEMALE","BEL","1995","41471.32"
"REHAB_1","MALE","BEL","1995","40452.68"
"REHAB_1","ALL","BEL","1996","41246.05"
"REHAB_1","FEMALE","BEL","1996","41722.62"
"REHAB_1","MALE","BEL","1996","40749.01"
"REHAB_1","ALL","BEL","1997","41655.32"
"REHAB_1","FEMALE","BEL","1997","42087.38"
"REHAB_1","MALE","BEL","1997","41204.49"
"REHAB_1","ALL","BEL","1998","42150.18"
"REHAB_1","FEMALE","BEL","1998","42527.05"
"REHAB_1","MALE","BEL","1998","41756.80"
"REHAB_1","ALL","BEL","1999","42680.73"
"REHAB_1","FEMALE","BEL","1999","43003.26"
"REHAB_1","MALE","BEL","1999","42343.96"
"REHAB_1","ALL","BEL","2000","43195.35"
"REHAB_1","FEMALE","BEL","2000","43477.58"
"REHAB_1","MALE","BEL","2000","42900.58"
"REHAB_1","ALL","BEL","2001","43781.06"
"REHAB_1","FEMALE","BEL","2001","44036.12"
"REHAB_1","MALE","BEL","2001","43514.61"
"REHAB_1","ALL","BEL","2002","44486.69"
"REHAB_1","FEMALE","BEL","2002","44723.10"
"REHAB_1","MALE","BEL","2002","44239.74"
"REHAB_1","ALL","BEL","2003","45178.83"
"REHAB_1","FEMALE","BEL","2003","45403.41"
"REHAB_1","MALE","BEL","2003","44944.27"
"REHAB_1","ALL","BEL","2004","45743.20"
"REHAB_1","FEMALE","BEL","2004","45963.44"
"REHAB_1","MALE","BEL","2004","45513.24"
"REHAB_1","ALL","BEL","2005","46066.79"
"REHAB_1","FEMALE","BEL","2005","46288.57"
"REHAB_1","MALE","BEL","2005","45835.29"
"REHAB_1","ALL","BEL","2006","46204.77"
"REHAB_1","FEMALE","BEL","2006","46427.63"
"REHAB_1","MALE","BEL","2006","45972.27"
"REHAB_1","ALL","BEL","2007","46307.49"
"REHAB_1","FEMALE","BEL","2007","46530.22"
"REHAB_1","MALE","BEL","2007","46075.23"
"REHAB_1","ALL","BEL","2008","46369.86"
"REHAB_1","FEMALE","BEL","2008","46596.47"
"REHAB_1","MALE","BEL","2008","46133.69"
"REHAB_1","ALL","BEL","2009","46399.08"
"REHAB_1","FEMALE","BEL","2009","46645.44"
"REHAB_1","MALE","BEL","2009","46142.49"
"REHAB_1","ALL","BEL","2010","46399.07"
"REHAB_1","FEMALE","BEL","2010","46686.87"
"REHAB_1","MALE","BEL","2010","46099.53"
"REHAB_1","ALL","BEL","2011","46193.88"
"REHAB_1","FEMALE","BEL","2011","46560.89"
"REHAB_1","MALE","BEL","2011","45812.21"
"REHAB_1","ALL","BEL","2012","45738.42"
"REHAB_1","FEMALE","BEL","2012","46214.94"
"REHAB_1","MALE","BEL","2012","45243.23"
"REHAB_1","ALL","BEL","2013","45210.52"
"REHAB_1","FEMALE","BEL","2013","45801.25"
"REHAB_1","MALE","BEL","2013","44597.13"
"REHAB_1","ALL","BEL","2014","44801.30"
"REHAB_1","FEMALE","BEL","2014","45480.70"
"REHAB_1","MALE","BEL","2014","44096.42"
"REHAB_1","ALL","BEL","2015","44693.50"
"REHAB_1","FEMALE","BEL","2015","45405.78"
"REHAB_1","MALE","BEL","2015","43955.21"
"REHAB_1","ALL","BEL","2016","45132.98"
"REHAB_1","FEMALE","BEL","2016","45714.13"
"REHAB_1","MALE","BEL","2016","44531.26"
"REHAB_1","ALL","BEL","2017","45577.39"
"REHAB_1","FEMALE","BEL","2017","46031.06"
"REHAB_1","MALE","BEL","2017","45108.16"
"REHAB_1","ALL","BEL","2018","45234.93"
"REHAB_1","FEMALE","BEL","2018","45775.06"
"REHAB_1","MALE","BEL","2018","44676.82"
"REHAB_1","ALL","BEL","2019","44194.61"
"REHAB_1","FEMALE","BEL","2019","44996.95"
"REHAB_1","MALE","BEL","2019","43366.38"
"REHAB_1","ALL","BGR","1990","46362.11"
"REHAB_1","FEMALE","BGR","1990","41398.00"
"REHAB_1","MALE","BGR","1990","51466.31"
