"Measure code","SEX","COUNTRY_REGION","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"REHAB_1","FEMALE","HRV","41858.22","41889.09","41892.22","41975.98","42006.92","42243.94","42254.70","42179.74","42079.78","42034.09","42150.13","42356.83","42574.27","42781.54","42999.64","43266.59","43555.86","43849.35","44099.98","44313.97","44515.82","44691.41","44886.69","45085.19","45285.82","45499.36","45848.69","46279.85","46747.46","47326.33"
"REHAB_1","FEMALE","CYP","33243.09","33326.73","33418.24","33518.62","33637.59","33778.56","33946.44","34137.02","34339.85","34547.00","34773.13","35021.08","35282.49","35544.42","35802.00","36057.74","36319.53","36590.93","36859.99","37112.98","37335.95","37508.43","37646.28","37775.44","37918.03","38100.92","38432.05","38796.72","39081.23","39367.87"
"REHAB_1","FEMALE","CZE","41693.03","41662.00","41664.51","41712.70","41834.29","42039.26","42279.76","42527.77","42781.60","43057.11","43356.98","43759.14","44285.86","44851.20","45363.32","45745.46","46010.29","46226.89","46412.09","46582.12","46761.05","46943.36","47108.62","47279.84","47472.61","47707.24","48307.87","48875.88","48778.19","48156.98"
"REHAB_1","FEMALE","DNK","42593.16","42715.60","42808.74","42868.71","42902.09","42907.97","42925.80","42957.39","43000.38","43052.77","43101.95","43146.20","43142.25","43122.46","43114.35","43141.61","43204.37","43254.22","43303.18","43353.35","43425.11","43520.91","43609.19","43701.80","43804.72","43931.13","44143.06","44349.50","44588.70","44942.02"
"REHAB_1","FEMALE","EST","41146.66","40995.30","40989.18","41090.27","41244.41","41440.43","41678.75","41976.19","42258.44","42517.47","42743.47","42860.95","42909.21","42902.22","42892.14","42935.17","43010.82","43103.97","43182.97","43269.54","43389.43","43531.65","43701.00","43881.23","44077.79","44312.82","44839.48","45365.70","45608.83","45820.92"
"REHAB_1","FEMALE","FIN","42286.18","42555.33","42820.15","43108.40","43414.63","43757.15","44199.48","44723.53","45302.88","45866.41","46364.70","46860.40","47363.38","47839.96","48242.53","48513.92","48624.95","48571.83","48432.11","48274.52","48158.06","48035.18","47808.03","47578.26","47436.50","47460.97","47789.54","48132.07","48159.78","47896.92"
"REHAB_1","FEMALE","FRA","38919.83","39092.87","39280.02","39479.79","39676.12","39861.23","40034.16","40195.59","40350.60","40497.83","40650.32","40808.28","40952.71","41087.27","41227.46","41382.89","41540.08","41690.41","41837.37","41980.58","42130.30","42303.79","42499.49","42706.73","42918.51","43127.14","43413.80","43711.69","43973.48","44274.92"
"REHAB_1","FEMALE","GEO","33000.79","33051.01","33202.52","33480.18","33469.58","33650.55","33951.26","34312.78","34709.78","35048.74","35345.01","35676.07","36020.00","36325.60","36602.05","36838.22","37007.72","37083.40","37223.71","37229.75","37354.35","37594.10","37857.46","38123.72","38394.74","38654.82","38906.84","39107.05","39341.78","39678.07"
"REHAB_1","FEMALE","DEU","42243.54","42287.61","42333.23","42404.58","42541.18","42688.13","42814.86","42923.95","43053.70","43231.45","43421.64","43621.92","43813.74","44019.43","44273.56","44543.08","44825.74","45103.17","45375.82","45652.48","45878.06","46043.38","46175.33","46289.18","46410.74","46519.00","46765.15","46980.33","47085.09","47217.72"
"REHAB_1","FEMALE","GRC","38315.05","38467.66","38555.07","38656.07","38781.29","38932.01","39085.37","39187.76","39266.82","39380.05","39520.87","39740.25","40045.42","40389.86","40725.26","41002.45","41247.32","41476.91","41684.79","41905.06","42168.91","42431.41","42645.42","42845.96","43067.67","43369.83","43858.51","44294.07","44598.56","44924.68"
"REHAB_1","FEMALE","HUN","42600.05","42607.02","42594.98","42608.80","42654.17","42764.24","42898.46","43023.25","43165.07","43322.85","43510.12","43693.54","43831.62","43965.32","44107.19","44270.19","44427.72","44553.49","44687.68","44858.54","45076.07","45299.86","45498.78","45720.60","45976.56","46266.26","46808.92","47347.59","47721.10","48171.07"
